GeneID,Tc_ant_1,Tc_ant_2,Tc_ant_3,Tc_ant_5,Tc_leg_1,Tc_leg_2,danaus_leg1,danaus_leg3,danaus_leg4,danaus_leg5,danaus_leg6,danaus_ant1,danaus_ant2,danaus_ant3,danaus_ant4,danaus_ant5,mel_an1,mel_an2,mel_an3,mel_an4,mel_an5,mel_an6,mel_leg1,mel_leg2,mel_leg3,mel_leg4
TC000474,535,1719,377,404,2382,19850,495,312,157,7,59,0,0,0,1,0,294,1437,573,873,329,401,365,81,380,492
TC000475,1938,777,1932,279,43,331,171,136,100,11,951,629,41,260,263,362,28,107,21,74,4,22,13,5,4,26
TC000476,151035,40203,173059,15642,3763,28315,1685,1365,1384,142,15676,1359,1041,406,513,914,0,0,0,0,0,0,0,0,0,0
TC000477,0,0,0,0,0,0,2759,2312,3205,380,31216,4856,3582,4076,2980,3298,94,358,129,262,215,71,126,23,207,144
TC000478,1891,422,1818,132,25,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,39,8,8,3,0,18,1,27,8
TC000479,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000480,1220,1359,1124,403,42,441,98,47,44,6,45,24,0,0,0,128,268,2037,636,242,142,235,383,293,2216,1531
TC000481,16098,10122,13180,3052,402,4150,1758,1734,1067,154,2203,3485,2632,3268,1127,3045,0,0,0,0,0,0,0,0,2,0
TC000482,1168,553,1228,215,39,346,82,85,48,14,352,85,77,108,32,58,3,75,6,0,1,0,0,0,0,8
TC000483,4,0,0,0,1,10,1,1,0,0,13,2,0,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TC000487,35531,10127,36857,3721,963,8737,6672,5407,6705,517,10522,6330,3196,2625,2184,5449,2,0,1,0,2,4,2,0,0,1
TC000498,119,308,47,107,42,409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
